fdc_id,food,count(*)
173208,"alcoholic beverage, wine, table, red, burgundy",1
174834,"alcoholic beverage, wine, table, red, cabernet franc",1
174833,"alcoholic beverage, wine, table, red, cabernet sauvignon",1
174840,"alcoholic beverage, wine, table, red, carignane",1
173194,"alcoholic beverage, wine, table, red, claret",1
171872,"alcoholic beverage, wine, table, red, gamay",1
174838,"alcoholic beverage, wine, table, red, lemberger",1
171925,"alcoholic beverage, wine, table, red, merlot",1
174109,"alcoholic beverage, wine, table, red, mouvedre",1
173193,"alcoholic beverage, wine, table, red, petite sirah",1
174835,"alcoholic beverage, wine, table, red, pinot noir",1
174839,"alcoholic beverage, wine, table, red, sangiovese",1
174836,"alcoholic beverage, wine, table, red, syrah",1
173192,"alcoholic beverage, wine, table, red, zinfandel",1
174837,"alcoholic beverage, wine, table, white",1
174110,"alcoholic beverage, wine, table, white, chardonnay",1
173195,"alcoholic beverage, wine, table, white, chenin blanc",1
173196,"alcoholic beverage, wine, table, white, fume blanc",1
174843,"alcoholic beverage, wine, table, white, gewurztraminer",1
173202,"alcoholic beverage, wine, table, white, late harvest",1
174844,"alcoholic beverage, wine, table, white, late harvest, gewurztraminer",1
173198,"alcoholic beverage, wine, table, white, muller thurgau",1
174849,"alcoholic beverage, wine, table, white, muscat",1
174848,"alcoholic beverage, wine, table, white, pinot blanc",1
174841,"alcoholic beverage, wine, table, white, pinot gris grigio",1
173200,"alcoholic beverage, wine, table, white, riesling",1
173201,"alcoholic beverage, wine, table, white, sauvignon blanc",1
174845,"alcoholic beverage, wine, table, white, semillon",1
171906,"alcoholic beverages, beer, higher alcohol",2
171906,"alcoholic beverages, beer, higher alcohol",2
171908,"alcoholic beverages, wine, rose",1
2346197,alcoholic malt beverage,4
2346197,alcoholic malt beverage,4
2346197,alcoholic malt beverage,4
2346197,alcoholic malt beverage,4
2346196,"alcoholic malt beverage, sweetened",3
2346196,"alcoholic malt beverage, sweetened",3
2346196,"alcoholic malt beverage, sweetened",3
2346202,alexander,2
2346202,alexander,2
324299,"alexia, onion rings, frozen al 1   nfy1206pp",1
324161,"alexia, onion rings, frozen ca2   nfy1206rp",1
324215,"alexia, onion rings, frozen co1   nfy12054d",1
324217,"alexia, onion rings, frozen ct1   nfy1206pl",1
324180,"alexia, onion rings, frozen fl   nfy1206rc",1
324255,"alexia, onion rings, frozen in1   nfy12054h",1
324178,"alexia, onion rings, frozen mo1   nfy1206rz",1
324160,"alexia, onion rings, frozen nc1   nfy12054t",1
324256,"alexia, onion rings, frozen ny1   nfy1206te",1
324298,"alexia, onion rings, frozen ok1   nfy1206sh",1
168384,"alfalfa seeds, sprouted, raw",2
168384,"alfalfa seeds, sprouted, raw",2
2345285,"alfalfa sprouts, raw",1
2341213,alfredo sauce,1
2341214,alfredo sauce with added vegetables,1
2341215,alfredo sauce with meat,1
2341216,alfredo sauce with meat and added vegetables,1
2341217,alfredo sauce with poultry,1
2341218,alfredo sauce with poultry and added vegetables,1
2341219,alfredo sauce with seafood,1
2341220,alfredo sauce with seafood and added vegetables,1
2343010,almond butter,3
2343010,almond butter,3
2343010,almond butter,3
2343041,"almond butter and jelly sandwich, on wheat bread",2
2343041,"almond butter and jelly sandwich, on wheat bread",2
2343040,"almond butter and jelly sandwich, on white bread",2
2343040,"almond butter and jelly sandwich, on white bread",2
2343039,"almond butter sandwich, on wheat bread",2
2343039,"almond butter sandwich, on wheat bread",2
2343038,"almond butter sandwich, on white bread",2
2343038,"almond butter sandwich, on white bread",2
2343011,"almond butter, lower sodium",3
2343011,"almond butter, lower sodium",3
2343011,"almond butter, lower sodium",3
2342241,almond chicken,2
2342241,almond chicken,2
2340789,"almond milk, sweetened",4
2340789,"almond milk, sweetened",4
2340789,"almond milk, sweetened",4
2340789,"almond milk, sweetened",4
2340790,"almond milk, sweetened, chocolate",4
2340790,"almond milk, sweetened, chocolate",4
2340790,"almond milk, sweetened, chocolate",4
2340790,"almond milk, sweetened, chocolate",4
2340791,"almond milk, unsweetened",4
2340791,"almond milk, unsweetened",4
2340791,"almond milk, unsweetened",4
2340791,"almond milk, unsweetened",4
2340792,"almond milk, unsweetened, chocolate",4
2340792,"almond milk, unsweetened, chocolate",4
2340792,"almond milk, unsweetened, chocolate",4
2340792,"almond milk, unsweetened, chocolate",4
2345738,almond oil,2
2345738,almond oil,2
2343012,almond paste,1
2345886,"almonds, chocolate covered candy",3
2345886,"almonds, chocolate covered candy",3
2345886,"almonds, chocolate covered candy",3
323192,"almonds, dry roasted, salted, blue diamond",1
323147,"almonds, dry roasted, salted, blue diamond",1
323164,"almonds, dry roasted, salted, blue diamond",1
323162,"almonds, dry roasted, salted, blue diamond",1
323150,"almonds, dry roasted, salted, blue diamond",1
323140,"almonds, dry roasted, salted, blue diamond",1
323190,"almonds, dry roasted, salted, blue diamond",1
323130,"almonds, dry roasted, salted, blue diamond",1
323132,"almonds, dry roasted, salted, blue diamond",1
323123,"almonds, dry roasted, salted, blue diamond",1
323125,"almonds, dry roasted, salted, blue diamond",1
323138,"almonds, dry roasted, salted, blue diamond",1
323179,"almonds, dry roasted, salted, emerald",1
323183,"almonds, dry roasted, salted, emerald",1
323234,"almonds, dry roasted, salted, emerald",1
323231,"almonds, dry roasted, salted, emerald",1
323216,"almonds, dry roasted, salted, emerald",1
323213,"almonds, dry roasted, salted, emerald",1
323282,"almonds, dry roasted, salted, great value",1
323281,"almonds, dry roasted, salted, great value",1
323268,"almonds, dry roasted, salted, snack artist",1
323266,"almonds, dry roasted, salted, snack artist",1
323251,"almonds, dry roasted, salted, store brand",1
323206,"almonds, dry roasted, salted, store brand",1
2342967,"almonds, flavored",5
2342967,"almonds, flavored",5
2342967,"almonds, flavored",5
2342967,"almonds, flavored",5
2342967,"almonds, flavored",5
2342968,"almonds, honey roasted",5
2342968,"almonds, honey roasted",5
2342968,"almonds, honey roasted",5
2342968,"almonds, honey roasted",5
2342968,"almonds, honey roasted",5
2342965,"almonds, lightly salted",5
2342965,"almonds, lightly salted",5
2342965,"almonds, lightly salted",5
2342965,"almonds, lightly salted",5
2342965,"almonds, lightly salted",5
2342962,"almonds, nfs",5
2342962,"almonds, nfs",5
2342962,"almonds, nfs",5
2342962,"almonds, nfs",5
2342962,"almonds, nfs",5
2342964,"almonds, salted",5
2342964,"almonds, salted",5
2342964,"almonds, salted",5
2342964,"almonds, salted",5
2342964,"almonds, salted",5
2342963,"almonds, unroasted",5
2342963,"almonds, unroasted",5
2342963,"almonds, unroasted",5
2342963,"almonds, unroasted",5
2342963,"almonds, unroasted",5
2342966,"almonds, unsalted",5
2342966,"almonds, unsalted",5
2342966,"almonds, unsalted",5
2342966,"almonds, unsalted",5
2342966,"almonds, unsalted",5
2345353,aloe vera juice drink,3
2345353,aloe vera juice drink,3
2345353,aloe vera juice drink,3
170683,"amaranth grain, cooked",1
170682,"amaranth grain, uncooked",1
168492,"amaranth leaves, cooked, boiled, drained, with salt",1
169202,"amaranth leaves, cooked, boiled, drained, without salt",1
168385,"amaranth leaves, raw",2
168385,"amaranth leaves, raw",2
2344780,ambrosia,1
325166,"american cheese, pasteurized process, americas choice white ny   nfy090ib6",1
325038,"american cheese, pasteurized process, best choice deluxe ok   nfy090i98",1
325040,"american cheese, pasteurized process, great value deluxe  al   nfy090ibc",1
325187,"american cheese, pasteurized process, hyvee deluxe sliced mo   nfy090i9g",1
325120,"american cheese, pasteurized process, kraft al   nfy090icr",1
325062,"american cheese, pasteurized process, kraft ca   nfy090iaa",1
325123,"american cheese, pasteurized process, kraft ca   nfy090iz8",1
325103,"american cheese, pasteurized process, kraft deli deluxe co   nfy090ie2",1
325065,"american cheese, pasteurized process, kraft deli deluxe nc   nfy090ie6",1
325142,"american cheese, pasteurized process, kraft fl   nfy090iad",1
325050,"american cheese, pasteurized process, kraft in   nfy090izk",1
325110,"american cheese, pasteurized process, kraft mi   nfy090j0c",1
325140,"american cheese, pasteurized process, kraft mo   nfy090i9b",1
325047,"american cheese, pasteurized process, kraft ny   nfy090iau",1
325109,"american cheese, pasteurized process, kraft ok   nfy090i96",1
325097,"american cheese, pasteurized process, kroger deluxe in   nfy090iza",1
325149,"american cheese, pasteurized process, kroger deluxe mi   nfy090j0g",1
325079,"american cheese, pasteurized process, land o lakes fl   nfy090icc",1
325135,"american cheese, pasteurized process, lucerne deluxe slices ca   nfy090izs",1
325134,"american cheese, pasteurized process, lucerne deluxe slices co   nfy090idr",1
325165,"american cheese, pasteurized process, publix deluxe fl   nfy090iag",1
325098,"american cheese, pasteurized process, shop rite singles ct   nfy090idg",1
325171,"american cheese, pasteurized process, sunnyside farms deluxe slices ca   nfy090ia6",1
335111,"americas choice, bread, 100% whole wheat ny1   nfy1206tu",1
167590,"andrea's, gluten free soft dinner roll",1
2345722,animal fat or drippings,2
2345722,animal fat or drippings,2
172345,"animal fat, bacon grease",1
2343183,anisette toast,1
2342319,"antipasto with ham, fish, cheese, vegetables",3
2342319,"antipasto with ham, fish, cheese, vegetables",3
2342319,"antipasto with ham, fish, cheese, vegetables",3
2344813,apple cider,3
2344813,apple cider,3
2344813,apple cider,3
2346165,"apple juice beverage, 40 50% juice, light",3
2346165,"apple juice beverage, 40 50% juice, light",3
2346165,"apple juice beverage, 40 50% juice, light",3
2344814,"apple juice, 100%",7
2344814,"apple juice, 100%",7
2344814,"apple juice, 100%",7
2344814,"apple juice, 100%",7
2344814,"apple juice, 100%",7
2344814,"apple juice, 100%",7
2344814,"apple juice, 100%",7
2344815,"apple juice, 100%, with calcium added",3
2344815,"apple juice, 100%, with calcium added",3
2344815,"apple juice, 100%, with calcium added",3
167771,"apple juice, canned or bottled, unsweetened, with added ascorbic acid",2
167771,"apple juice, canned or bottled, unsweetened, with added ascorbic acid",2
167800,"apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",2
167800,"apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",2
173933,"apple juice, canned or bottled, unsweetened, without added ascorbic acid",2
173933,"apple juice, canned or bottled, unsweetened, without added ascorbic acid",2
173935,"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",2
173935,"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",2
167775,"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",2
167775,"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",2
2344715,apple pie filling,1
2344787,apple salad with dressing,1
2344716,"apple, baked",2
2344716,"apple, baked",2
2344788,"apple, candied",1
2344691,"apple, dried",2
2344691,"apple, dried",2
2344711,"apple, raw",7
2344711,"apple, raw",7
2344711,"apple, raw",7
2344711,"apple, raw",7
2344711,"apple, raw",7
2344711,"apple, raw",7
2344711,"apple, raw",7
169831,"applebee's, 9 oz house sirloin steak",1
169841,"applebee's, chicken tenders platter",1
169012,"applebee's, chicken tenders, from kids' menu",1
169018,"applebee's, chili",2
169018,"applebee's, chili",2
169020,"applebee's, coleslaw",1
169840,"applebee's, crunchy onion rings",1
169008,"applebee's, double crunch shrimp",1
169017,"applebee's, fish, hand battered",1
169009,"applebee's, french fries",1
169010,"applebee's, kraft, macaroni & cheese, from kid's menu",2
169010,"applebee's, kraft, macaroni & cheese, from kid's menu",2
169011,"applebee's, mozzarella sticks",2
169011,"applebee's, mozzarella sticks",2
747402,applebees    american cheese wave 22d,1
747367,applebees    american cheese wave 22d,1
747360,applebees    american cheese wave 22d,1
747304,applebees    american cheese wave 22d,1
747346,applebees    american cheese wave 22d,1
747353,applebees    american cheese wave 22d,1
748989,applebees    bacon,1
748982,applebees    bacon,1
748969,applebees    bacon,1
748975,applebees    bacon wave 22d,1
749017,applebees    bacon wave 22d,1
749024,applebees    bacon wave 22d,1
749010,applebees    bacon wave 22d,1
749038,applebees    bacon wave 22d,1
749031,applebees    bacon wave 22d,1
747136,applebees   american cheese,1
747209,applebees   american cheese,1
747149,applebees   american cheese,1
747155,applebees   american cheese,1
747173,applebees   american cheese,1
173930,"apples, canned, sweetened, sliced, drained, heated",1
171690,"apples, dehydrated low moisture, sulfured, stewed",1
173931,"apples, dehydrated low moisture, sulfured, uncooked",1
171693,"apples, dried, sulfured, stewed, with added sugar",1
171692,"apples, dried, sulfured, stewed, without added sugar",1
171691,"apples, dried, sulfured, uncooked",2
171691,"apples, dried, sulfured, uncooked",2
173932,"apples, frozen, unsweetened, heated includes foods for usda's food distribution program",1
171694,"apples, frozen, unsweetened, unheated includes foods for usda's food distribution program",1
167793,"apples, raw, fuji, with skin includes foods for usda's food distribution program",4
167793,"apples, raw, fuji, with skin includes foods for usda's food distribution program",4
167793,"apples, raw, fuji, with skin includes foods for usda's food distribution program",4
167793,"apples, raw, fuji, with skin includes foods for usda's food distribution program",4
168204,"apples, raw, gala, with skin includes foods for usda's food distribution program",4
168204,"apples, raw, gala, with skin includes foods for usda's food distribution program",4
168204,"apples, raw, gala, with skin includes foods for usda's food distribution program",4
168204,"apples, raw, gala, with skin includes foods for usda's food distribution program",4
168202,"apples, raw, golden delicious, with skin",4
168202,"apples, raw, golden delicious, with skin",4
168202,"apples, raw, golden delicious, with skin",4
168202,"apples, raw, golden delicious, with skin",4
168203,"apples, raw, granny smith, with skin includes foods for usda's food distribution program",4
168203,"apples, raw, granny smith, with skin includes foods for usda's food distribution program",4
168203,"apples, raw, granny smith, with skin includes foods for usda's food distribution program",4
168203,"apples, raw, granny smith, with skin includes foods for usda's food distribution program",4
168201,"apples, raw, red delicious, with skin includes foods for usda's food distribution program",4
168201,"apples, raw, red delicious, with skin includes foods for usda's food distribution program",4
168201,"apples, raw, red delicious, with skin includes foods for usda's food distribution program",4
168201,"apples, raw, red delicious, with skin includes foods for usda's food distribution program",4
171688,"apples, raw, with skin includes foods for usda's food distribution program",3
171688,"apples, raw, with skin includes foods for usda's food distribution program",3
171688,"apples, raw, with skin includes foods for usda's food distribution program",3
171689,"apples, raw, without skin",1
173928,"apples, raw, without skin, cooked, boiled",1
173929,"apples, raw, without skin, cooked, microwave",1
167773,"applesauce, canned, sweetened, with salt",1
171696,"applesauce, canned, sweetened, without salt",1
167772,"applesauce, canned, unsweetened, with added ascorbic acid",1
171695,"applesauce, canned, unsweetened, without added ascorbic acid includes foods for usda's food distribution program",1
2344714,"applesauce, flavored",3
2344714,"applesauce, flavored",3
2344714,"applesauce, flavored",3
2344712,"applesauce, regular",3
2344712,"applesauce, regular",3
2344712,"applesauce, regular",3
2344713,"applesauce, unsweetened",3
2344713,"applesauce, unsweetened",3
2344713,"applesauce, unsweetened",3
2344835,apricot nectar,3
2344835,apricot nectar,3
2344835,apricot nectar,3
171704,"apricot nectar, canned, with added ascorbic acid",2
171704,"apricot nectar, canned, with added ascorbic acid",2
2344718,"apricot, canned",2
2344718,"apricot, canned",2
2344692,"apricot, dried",2
2344692,"apricot, dried",2
2344717,"apricot, raw",3
2344717,"apricot, raw",3
2344717,"apricot, raw",3
171701,"apricots, canned, extra heavy syrup pack, without skin, solids and liquids",1
173938,"apricots, canned, extra light syrup pack, with skin, solids and liquids includes foods for usda's food distribution program",1
171699,"apricots, canned, heavy syrup pack, with skin, solids and liquids",3
171699,"apricots, canned, heavy syrup pack, with skin, solids and liquids",3
171699,"apricots, canned, heavy syrup pack, with skin, solids and liquids",3
171700,"apricots, canned, heavy syrup pack, without skin, solids and liquids",1
167768,"apricots, canned, heavy syrup, drained",2
167768,"apricots, canned, heavy syrup, drained",2
173937,"apricots, canned, juice pack, with skin, solids and liquids",2
173937,"apricots, canned, juice pack, with skin, solids and liquids",2
173939,"apricots, canned, light syrup pack, with skin, solids and liquids",2
173939,"apricots, canned, light syrup pack, with skin, solids and liquids",2
171698,"apricots, canned, water pack, with skin, solids and liquids",2
171698,"apricots, canned, water pack, with skin, solids and liquids",2
173936,"apricots, canned, water pack, without skin, solids and liquids",1
173940,"apricots, dehydrated low moisture, sulfured, stewed",1
171702,"apricots, dehydrated low moisture, sulfured, uncooked",1
173943,"apricots, dried, sulfured, stewed, with added sugar",1
173942,"apricots, dried, sulfured, stewed, without added sugar",1
173941,"apricots, dried, sulfured, uncooked",2
173941,"apricots, dried, sulfured, uncooked",2
171703,"apricots, frozen, sweetened",1
171697,"apricots, raw",3
171697,"apricots, raw",3
171697,"apricots, raw",3
170791,"arby's, roast beef sandwich, classic",1
175071,"archway home style cookies, chocolate chip ice box",1
173245,"archway home style cookies, coconut macaroon",1
173246,"archway home style cookies, date filled oatmeal",1
173247,"archway home style cookies, dutch cocoa",1
173248,"archway home style cookies, frosty lemon",1
173249,"archway home style cookies, iced molasses",1
175072,"archway home style cookies, iced oatmeal",1
175073,"archway home style cookies, molasses",1
175074,"archway home style cookies, oatmeal",1
175075,"archway home style cookies, oatmeal raisin",1
173250,"archway home style cookies, old fashioned molasses",1
173251,"archway home style cookies, old fashioned windmill cookies",1
173252,"archway home style cookies, peanut butter",1
173253,"archway home style cookies, raspberry filled",1
175077,"archway home style cookies, reduced fat ginger snaps",1
175076,"archway home style cookies, strawberry filled",1
175070,"archway home style cookies, sugar free oatmeal",1
2343308,arepa dominicana,1
2341332,armadillo,1
168493,"arrowhead, cooked, boiled, drained, with salt",1
169204,"arrowhead, cooked, boiled, drained, without salt",1
169203,"arrowhead, raw",2
169203,"arrowhead, raw",2
170684,arrowroot flour,1
168490,"arrowroot, raw",2
168490,"arrowroot, raw",2
2341186,artichoke dip,2
2341186,artichoke dip,2
2345355,"artichoke, canned, cooked, no added fat",3
2345355,"artichoke, canned, cooked, no added fat",3
2345355,"artichoke, canned, cooked, no added fat",3
2345354,"artichoke, fresh, cooked, no added fat",3
2345354,"artichoke, fresh, cooked, no added fat",3
2345354,"artichoke, fresh, cooked, no added fat",3
2345286,"artichoke, raw",1
169311,"artichokes, globe or french, cooked, boiled, drained, with salt",2
169311,"artichokes, globe or french, cooked, boiled, drained, with salt",2
168386,"artichokes, globe or french, cooked, boiled, drained, without salt",2
168386,"artichokes, globe or french, cooked, boiled, drained, without salt",2
169312,"artichokes, globe or french, frozen, cooked, boiled, drained, with salt",1
168388,"artichokes, globe or french, frozen, cooked, boiled, drained, without salt",1
168387,"artichokes, globe or french, frozen, unprepared",1
169205,"artichokes, globe or french, raw",2
169205,"artichokes, globe or french, raw",2
2345356,"artichokes, ns as to form, cooked",3
2345356,"artichokes, ns as to form, cooked",3
2345356,"artichokes, ns as to form, cooked",3
2345566,"artichokes, stuffed",2
2345566,"artichokes, stuffed",2
175078,"artificial blueberry muffin mix, dry",1
169387,"arugula, raw",2
169387,"arugula, raw",2
2342261,"asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",3
2342261,"asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",3
2342261,"asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",3
2342260,"asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",1
2345563,"asian stir fry vegetables, cooked, fat added",1
2345562,"asian stir fry vegetables, cooked, no added fat",1
2345632,"asparagus soup, cream of, ns as to made with milk or water",1
2345633,"asparagus soup, cream of, prepared with milk",2
2345633,"asparagus soup, cream of, prepared with milk",2
2345369,"asparagus, canned, cooked with butter or margarine",2
2345369,"asparagus, canned, cooked with butter or margarine",2
2345368,"asparagus, canned, cooked with oil",2
2345368,"asparagus, canned, cooked with oil",2
2345363,"asparagus, canned, cooked, fat added, ns as to fat type",2
2345363,"asparagus, canned, cooked, fat added, ns as to fat type",2
2345359,"asparagus, canned, cooked, no added fat",2
2345359,"asparagus, canned, cooked, no added fat",2
169207,"asparagus, canned, drained solids",1
169314,"asparagus, canned, no salt added, solids and liquids",1
169206,"asparagus, canned, regular pack, solids and liquids",1
168390,"asparagus, cooked, boiled, drained",1
169313,"asparagus, cooked, boiled, drained, with salt",1
2345365,"asparagus, fresh, cooked with butter or margarine",3
2345365,"asparagus, fresh, cooked with butter or margarine",3
2345365,"asparagus, fresh, cooked with butter or margarine",3
2345364,"asparagus, fresh, cooked with oil",3
2345364,"asparagus, fresh, cooked with oil",3
2345364,"asparagus, fresh, cooked with oil",3
2345361,"asparagus, fresh, cooked, fat added, ns as to fat type",3
2345361,"asparagus, fresh, cooked, fat added, ns as to fat type",3
2345361,"asparagus, fresh, cooked, fat added, ns as to fat type",3
2345357,"asparagus, fresh, cooked, no added fat",3
2345357,"asparagus, fresh, cooked, no added fat",3
2345357,"asparagus, fresh, cooked, no added fat",3
2345367,"asparagus, frozen, cooked with butter or margarine",3
2345367,"asparagus, frozen, cooked with butter or margarine",3
2345367,"asparagus, frozen, cooked with butter or margarine",3
2345366,"asparagus, frozen, cooked with oil",3
2345366,"asparagus, frozen, cooked with oil",3
2345366,"asparagus, frozen, cooked with oil",3
168494,"asparagus, frozen, cooked, boiled, drained, with salt",2
168494,"asparagus, frozen, cooked, boiled, drained, with salt",2
169209,"asparagus, frozen, cooked, boiled, drained, without salt",2
169209,"asparagus, frozen, cooked, boiled, drained, without salt",2
2345362,"asparagus, frozen, cooked, fat added, ns as to fat type",3
2345362,"asparagus, frozen, cooked, fat added, ns as to fat type",3
2345362,"asparagus, frozen, cooked, fat added, ns as to fat type",3
2345358,"asparagus, frozen, cooked, no added fat",3
2345358,"asparagus, frozen, cooked, no added fat",3
2345358,"asparagus, frozen, cooked, no added fat",3
169208,"asparagus, frozen, unprepared",1
2345360,"asparagus, ns as to form, cooked",3
2345360,"asparagus, ns as to form, cooked",3
2345360,"asparagus, ns as to form, cooked",3
2345287,"asparagus, raw",3
168389,"asparagus, raw",1
2345287,"asparagus, raw",3
2345287,"asparagus, raw",3
2345765,avocado dressing,2
2345765,avocado dressing,2
2345808,"avocado, for use on a sandwich",2
2345808,"avocado, for use on a sandwich",2
2344719,"avocado, raw",4
2344719,"avocado, raw",4
2344719,"avocado, raw",4
2344719,"avocado, raw",4
171705,"avocados, raw, all commercial varieties",5
171705,"avocados, raw, all commercial varieties",5
171705,"avocados, raw, all commercial varieties",5
171705,"avocados, raw, all commercial varieties",5
171705,"avocados, raw, all commercial varieties",5
171706,"avocados, raw, california",3
171706,"avocados, raw, california",3
171706,"avocados, raw, california",3
171707,"avocados, raw, florida",3
171707,"avocados, raw, florida",3
171707,"avocados, raw, florida",3
2344857,"baby toddler apples, stage 1",4
2344857,"baby toddler apples, stage 1",4
2344857,"baby toddler apples, stage 1",4
2344857,"baby toddler apples, stage 1",4
2344858,"baby toddler apples, stage 2",4
2344858,"baby toddler apples, stage 2",4
2344858,"baby toddler apples, stage 2",4
2344858,"baby toddler apples, stage 2",4
2344859,"baby toddler bananas, stage 1",4
2344859,"baby toddler bananas, stage 1",4
2344859,"baby toddler bananas, stage 1",4
2344859,"baby toddler bananas, stage 1",4
2344860,"baby toddler bananas, stage 2",4
2344860,"baby toddler bananas, stage 2",4
2344860,"baby toddler bananas, stage 2",4
2344860,"baby toddler bananas, stage 2",4
2343612,baby toddler bar,1
2341266,baby toddler beef,2
2341266,baby toddler beef,2
2345674,baby toddler beets,4
2345674,baby toddler beets,4
2345674,baby toddler beets,4
2345674,baby toddler beets,4
2343614,baby toddler biscuit,1
2345666,"baby toddler carrots, stage 1",4
2345666,"baby toddler carrots, stage 1",4
2345666,"baby toddler carrots, stage 1",4
2345666,"baby toddler carrots, stage 1",4
2345667,"baby toddler carrots, stage 2",4
2345667,"baby toddler carrots, stage 2",4
2345667,"baby toddler carrots, stage 2",4
2345667,"baby toddler carrots, stage 2",4
2343975,"baby toddler cereal, barley, dry",1
2343979,"baby toddler cereal, multigrain with fruit, dry",1
2343986,"baby toddler cereal, multigrain with fruit, ready to eat",3
2343986,"baby toddler cereal, multigrain with fruit, ready to eat",3
2343986,"baby toddler cereal, multigrain with fruit, ready to eat",3
2343980,"baby toddler cereal, multigrain, dry",1
2343985,"baby toddler cereal, multigrain, ready to eat",3
2343985,"baby toddler cereal, multigrain, ready to eat",3
2343985,"baby toddler cereal, multigrain, ready to eat",3
2343982,"baby toddler cereal, nfs",3
2343982,"baby toddler cereal, nfs",3
2343982,"baby toddler cereal, nfs",3
2343981,"baby toddler cereal, oatmeal with fruit, dry",1
2343987,"baby toddler cereal, oatmeal with fruit, ready to eat",3
2343987,"baby toddler cereal, oatmeal with fruit, ready to eat",3
